Make,Model,Variant,Ex-Showroom_Price(Rs.),Displacement(cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_Tank_Capacity(litres),Height(mm),Length(mm),Width(mm),Doors,City_Mileage(km/litre),Gears,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Seating_Capacity,Wheelbase(mm),Boot_Space(litres)
Tata,Nano Genx,Xt,292667,624,2,2,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",24,1652,3164,1750,5,23.6,4,135/70R12,155/65R12,4,2230,110
Tata,Nano Genx,Xe,236447,624,2,2,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",24,1652,3164,1750,5,23.6,4,135/70R12,155/65R12,4,2230,110
Tata,Nano Genx,Emax Xm,296661,624,2,2,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",15,1652,3164,1750,4,23.6,4,135/70R12,155/65R12,4,2230,110
Tata,Nano Genx,Xta,334768,624,2,2,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",24,1652,3164,1750,5,23.6,5,135/70R12,155/65R12,4,2230,94
Tata,Nano Genx,Xm,272223,624,2,2,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",24,1652,3164,1750,5,23.6,4,135/70R12,155/65R12,4,2230,110
Tata,Nano Genx,Xma,314815,624,2,2,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",24,1652,3164,1750,5,23.6,5,135/70R12,155/65R12,4,2230,94
Datsun,Redi-Go,D,279650,799,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",28,1541,3429,1560,5,21.38,5,80/155R13,80/155R13,5,2348,222
Datsun,Redi-Go,T,351832,799,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",28,1541,3429,1560,5,21.38,5,80/155R13,80/155R13,5,2348,222
Datsun,Redi-Go,A,333419,799,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",28,1541,3429,1560,5,21.38,5,80/155R13,80/155R13,5,2348,222
Datsun,Redi-Go,S,362000,799,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",28,1541,3429,1560,5,21.38,5,80/155R13,80/155R13,5,2348,222
Datsun,Redi-Go,1.0 S,390000,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",28,1541,3429,1560,5,21.38,5,80/155R13,80/155R13,5,2348,222
Datsun,Redi-Go,1.0 S Amt,437065,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",28,1541,3429,1560,5,21.38,5,155/80R13,155/80R13,5,2348,222
Renault,Kwid,Rxe 0.8,353290,799,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,6,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Std 0.8,283290,799,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2442,300
Renault,Kwid,Rxl 0.8,383290,799,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Rxt 0.8,413290,799,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1580,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Rxt 1.0,433290,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Climber 1.0 Mt,454490,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Rxt Amt 1.0,463290,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Climber Amt 1.0,484490,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Rxt (O) 1.0,440990,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Rxt (O) Amt 1.0,470990,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Climber (O) Mt 1.0,462190,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Renault,Kwid,Climber (O) Amt 1.0,492190,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",28,1490,3731,1579,5,25.17,5,165/70 R14,165/70 R14,5,2422,300
Maruti Suzuki,Eeco,5 Str,352136,1196,4,4,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",40,1800,3675,1475,5,12,5,155 R13 LT,155 R13 LT,5,2350,400
Maruti Suzuki,Eeco,7 Str,380573,1196,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",40,1800,3675,1475,5,12,5,155 R13 LT,155 R13 LT,7,2350,250
Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196,4,4,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",40,1800,3675,1475,5,11,5,155 R13 LT,155 R13 LT,5,2350,400
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196,4,4,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",40,1800,3675,1475,5,11,5,155 R13 LT,155 R13 LT,5,2350,400
Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196,4,4,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",40,1800,3675,1475,5,11,5,155 R13 LT,155 R13 LT,5,2350,400
